epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,1.56901,1.02436,2.92067,1.29217,0.79457,0.83333,0.88897,0.63739,1.44879,1.35958,1.28738,0,0,0
2,1.7804,1.27548,3.10545,1.61647,0.79044,0.75,0.87526,0.62493,1.45766,1.35376,1.28909,1.17822e-06,1.17822e-06,1.17822e-06
3,1.99647,1.27507,2.78772,1.53643,0.75177,0.75,0.87556,0.61498,1.4577,1.37668,1.28944,2.33288e-06,2.33288e-06,2.33288e-06
4,2.26196,1.10134,2.67287,1.31101,0.70209,0.75,0.87523,0.60053,1.49528,1.40749,1.30799,3.46397e-06,3.46397e-06,3.46397e-06
5,2.56128,1.13508,2.92976,1.52249,0.6413,0.75,0.87521,0.59831,1.53253,1.4619,1.3271,4.5715e-06,4.5715e-06,4.5715e-06
6,2.84207,1.14403,2.31492,1.37666,0.75237,0.75,0.88913,0.59261,1.53827,1.51375,1.33608,5.65548e-06,5.65548e-06,5.65548e-06
7,3.13402,1.53007,3.58876,1.81385,0.87336,0.58333,0.88905,0.5922,1.56531,1.59684,1.36435,6.71588e-06,6.71588e-06,6.71588e-06
8,3.41769,1.36354,3.36307,1.78207,0.85999,0.58333,0.83824,0.57791,1.57034,1.62647,1.36389,7.75273e-06,7.75273e-06,7.75273e-06
9,3.69825,1.49926,2.8192,1.61178,0.83056,0.58333,0.83882,0.57922,1.5638,1.67299,1.36274,8.76602e-06,8.76602e-06,8.76602e-06
10,3.97907,1.35286,2.58736,1.65072,0.79955,0.58333,0.75115,0.56754,1.5627,1.68973,1.36487,9.75574e-06,9.75574e-06,9.75574e-06
11,4.26546,1.21543,1.99979,1.49433,0.79001,0.58333,0.74833,0.56644,1.54633,1.72263,1.3564,1.07219e-05,1.07219e-05,1.07219e-05
12,4.69155,1.35226,3.14529,1.62305,0.76827,0.58333,0.74844,0.56644,1.54792,1.7529,1.36774,1.16645e-05,1.16645e-05,1.16645e-05
13,4.97396,1.15842,2.65796,1.47758,0.72615,0.58333,0.74804,0.56639,1.53919,1.77885,1.37027,1.25835e-05,1.25835e-05,1.25835e-05
14,5.25663,1.03822,2.38163,1.36941,0.72665,0.58333,0.66305,0.46957,1.5451,1.81669,1.37223,1.3479e-05,1.3479e-05,1.3479e-05
15,5.53817,1.23656,2.70216,1.55835,0.81556,0.41667,0.66302,0.46584,1.53783,1.83819,1.36853,1.43509e-05,1.43509e-05,1.43509e-05
16,5.82282,1.0707,2.45328,1.35917,0.92055,0.37384,0.66306,0.47395,1.53342,1.88186,1.36503,1.51993e-05,1.51993e-05,1.51993e-05
17,6.10665,0.93891,2.98547,1.37348,0.918,0.37355,0.58026,0.43234,1.54423,1.92563,1.36876,1.60241e-05,1.60241e-05,1.60241e-05
18,6.37641,0.95273,2.75134,1.31943,0.918,0.37355,0.58026,0.43234,1.54423,1.92563,1.36876,1.68253e-05,1.68253e-05,1.68253e-05
19,6.66004,1.0347,2.36308,1.46767,0.91045,0.37254,0.57563,0.39516,1.56446,2.0049,1.37722,1.7603e-05,1.7603e-05,1.7603e-05
20,6.93256,1.08383,2.55125,1.40506,0.91045,0.37254,0.57563,0.39516,1.56446,2.0049,1.37722,1.83571e-05,1.83571e-05,1.83571e-05
21,7.21838,1.16261,2.28981,1.56651,0.90951,0.37283,0.51407,0.38884,1.60605,2.046,1.40275,1.90876e-05,1.90876e-05,1.90876e-05
22,7.4833,1.10719,2.52576,1.50197,0.90951,0.37283,0.51407,0.38884,1.60605,2.046,1.40275,1.97946e-05,1.97946e-05,1.97946e-05
23,7.77799,0.87308,1.75753,1.3817,0.90302,0.37128,0.51703,0.38172,1.62455,2.11841,1.41713,2.0478e-05,2.0478e-05,2.0478e-05
24,8.0466,0.78486,1.66275,1.23867,0.90302,0.37128,0.51703,0.38172,1.62455,2.11841,1.41713,2.11379e-05,2.11379e-05,2.11379e-05
25,8.35557,0.75293,1.59637,1.17686,0.90501,0.37142,0.52648,0.38101,1.662,2.15486,1.43241,2.17741e-05,2.17741e-05,2.17741e-05
26,8.62544,1.11669,2.02614,1.35276,0.90501,0.37142,0.52648,0.38101,1.662,2.15486,1.43241,2.23869e-05,2.23869e-05,2.23869e-05
27,8.91366,1.06111,1.50308,1.34256,0.90978,0.37162,0.49338,0.36044,1.65573,2.16137,1.43334,2.2976e-05,2.2976e-05,2.2976e-05
28,9.16832,1.15015,1.26109,1.39484,0.90978,0.37162,0.49338,0.36044,1.65573,2.16137,1.43334,2.35417e-05,2.35417e-05,2.35417e-05
29,9.44064,1.16783,1.96413,1.51899,0.91066,0.37183,0.45126,0.31503,1.69976,2.17784,1.47416,2.40837e-05,2.40837e-05,2.40837e-05
30,9.71818,0.81421,1.80218,1.34511,0.91066,0.37183,0.45126,0.31503,1.69976,2.17784,1.47416,2.46022e-05,2.46022e-05,2.46022e-05
31,10.1285,0.9544,1.96462,1.35125,0.9074,0.37133,0.44489,0.31246,1.74499,2.20322,1.54493,2.50971e-05,2.50971e-05,2.50971e-05
32,10.3991,0.9272,1.67465,1.43202,0.9074,0.37133,0.44489,0.31246,1.74499,2.20322,1.54493,2.55685e-05,2.55685e-05,2.55685e-05
33,10.6965,0.88642,1.05144,1.31077,0.90696,0.37159,0.44491,0.30489,1.78944,2.26376,1.60035,2.60163e-05,2.60163e-05,2.60163e-05
34,10.983,0.95558,1.4428,1.24238,0.90696,0.37159,0.44491,0.30489,1.78944,2.26376,1.60035,2.64405e-05,2.64405e-05,2.64405e-05
